userName,content,score,thumbsUpCount,appVersion
A Google user,I really liked this game at first but I agree with other critical reviews that ads disrupt gameplay. At first I didn't mind but once I got to the second hotel it was really disappointing that I couldn't use ANY profits or anything to make the new level easier..... it felt like there was no point in the first hotel existing. Even if I did spend the $10 I can tell the game would be completed in a few levels. Boring.,3,227,1.2.0
Peter Sportino,"I like some of the bug fixes. The game us still buggy. Ad crashes throw you out. By the way, the 1 minute 4 and 3 spot ads are really awful and way too long. It may be a deal breaker for me. Update: The bug fixes earned the full 5 stars. It really is fun now. I would love some new hotels to build. Fine job.",5,226,2.5.1
Pixie Bird,"Cute game. I loved the graphics and music, but most of the gameplay consisted of watching ads. The game was built in a way to forced you to watch ads. Unless you want to just sit there and watch your money deplete and your staff walk out on you, you watch the ads to boost your earnings. On top of that, there's no offline play. Overall, Hotel Empire Tycoon is a cute game to play when you have access to internet, time to kill, and don't mind watching ads for extended periods of time.",3,226,1.8.4
A Google user,"This is the best Codigames title yet! I've played pretty much all of them for several hours as I'm an idle game addict but I can't seem to put this one down at all. It has the most to do, the coolest progression, and the smoothest gameplay of any title in this series. I check this page every day to find out when the next hotel is released, and I can't wait to see what you guys have planned next!",5,216,1.2.0
A Google user,"Delightful and frustrating in equal measure. If you don't pay ¡ê10.49 to remove ads this game will drive you insane. The ads themselves are lowest of the low, awful misleading ads for games you just want to avoid. Some are over 40 seconds long! You're not given the option to skip ads which is pretty condescending. I paid to remove them for my own sanity. The game itself is good fun, well made, has some nice touches etc. Quicker methods of upgrading would be nice, and more affordable add-ons.",3,215,1.6.0
A Google user,"It's actually really fun, not like a lot of the money grab games you see now and days. It looks really pleasing and plays nicely. It's also got an ending objective. I oike jow your full on given an option to not see any ads, the only time I've run into them is if I wanted something from the game. The only real issue is it can get boring sometimes, and I would like if there were many more character models. Great game guys!",4,214,1.1.1
A Google user,"Game is good overall and it's different from what you guys made so far, BUT greed for money has to stop. Balance is just awful, at the beginning you can't make any money but only watching video ads to get cash from VIP. This sucks on so many levels...even though I managed to survive to next hotel after watching like 300+ ads.... this is just crazy guys....You need to do a better job on balance or you'll keep getting bad reviews like this one",2,214,1.1.1
A Google user,"I really enjoy this game and I love it a lot but there are quite a few issues I've run into which have caused me to give this game a 3 star rating instead of a 5 star. After you complete the tutorial portion of the game, the in-game character that is meant to help and advise you becomes absolutely useless. There's no help button or anything to help you in case you get stuck or have misunderstood something. When I opened up my second hotel it told me to keep working on my first to earn money for my second. However, you can't move funds between your hotels so I was lost for quite a long time trying to figure out how to do this when it's not possible. Many times the ads will take me to their download page and when I return to the game it restarts and I lose the reward. I've also been told that I've earned gems through watching ads but no gems were added to my balance. Sometimes ads won't even load or I'll click to watch an ad, no ads will come up and then my game gets stuck asking me if I want to watch an ad or not but it becomes unclickable. Also there is no clear time when my hotel will close while I'm not playing. There are locks that appear but they will say 2 hours and then as soon as I close my game it tells me my hotel closed, or sometimes it won't tell me until hours later. I've even gotten notifications that my hotel has closed while I'm actively playing. If these issues were fixed I would change my review to 5 stars because overall it is a really fun game to play, the graphics looks good and the areas are really beautiful.",3,213,1.3.0
Shelli Walters,"I am still waiting on a new hotel. When I first downloaded this game, it advertised 10 hotels. I've been waiting on the 8th hotel since last year some time. The event hotels don't last long enough. I pushed hard and actually hit the 50,000,000 mark once with very little sleep. If you have time to produce event hotels, then you have time to produce promised hotels.",1,209,1.9.91
NishaPlayz (Nisha),"This game is overall good. But there is one thing about the ads in the game that I think I should talk about. You see,the ads are not like regular ads, there like websites. It's really annoying knowing that a regular ad would talk 3-25 seconds long and theses ads are 40 seconds long. I think lots of people would like to get to the game from an ad alot quicker. I'm not so sure if it's just me or everyone else, but i'd really like it fixed. Thank you.",4,208,1.9.93
A Google user,"Be really good if income was shared across all resorts as I have one that has nothing left to buy but making a fortune Fun and addictive, great graphics. I just wish the game speed was a little faster and the upgrades didn't cost so much real money compared to other games, but they do offer ads at your choosing to get time VIP stats. I love developers that don't force you to watch ads but give you the option if you choose for a reward.",5,207,1.2.0
brandon k,"Great game, must watch Ads if you want to build up quickly. The only down side is that the hotels you have 100% (not including gem upgrades) you should be able to transfer money from one hotel to the other. I understand the fact that it needs to get harder for each level, but each hotel has more and more expensive purchases. So using the other hotels would not really be too much easier. And it would keep you going back to the old hotels more often, like the games wants you to do.",4,206,1.7.2
Yes yes,"Too many glitches. I'll list them all here. The first bug is when you open the app, before you closed the app, and you had all rooms occupied, you rejoin, regardless of when, 2 rooms are open. Guests don't come sometimes. Your guests won't come. No cars, no nothing. Even the travel agency ad doesn't work. Daily balance bugged. 2 rooms open? Same daily balance. All rooms occupied? Same balance. The balance only changes if you upgrade it or not. Services are also affected with this bug.",2,202,1.9.91
A Google user,"I absolutely love the game, always enjoy it when a new hotel comes out :) though I think there's one thing that's missing and it becomes very clear on the Arabian nights resort. I need 20 stars total to move to the Imperator Palace; that's no problem, I've got all the money I need to upgrade everything. The problem comes with actually upgrading. The process is painfully slow, spamming the upgrade button so much. A simple button to upgrade x object to max right away would be much appreciated. :)",4,199,1.7.1
Emily Normandin,"Game is great! Best time management/idle style game around. But, once you upgrade your hotels, you can't do anything. I beat all the hotels and now I have nothing to do. Also, you can't get 5 star hotels without paying for more diamonds. So, if you can't afford to buy diamonds, you cant make it past the 2nd hotel. Please update and keep adding, this game is great!",4,198,1.7.3
Shm,"I would've absolutely given this game 5 stars, if it's wasn't for the horrible ADS, omg where do I start? You can't play without ads or else you'll lose money, and I'm not talking 10 seconds ads, I'm talking 30 SECONDS, I genuinely spend more time watching ads than actually playing the game, which threw me off a little, there has to be another way to collect money other than watching these boring ads. But game wise, the game is fun.",3,196,1.9.91
A Google user,"There's just far too many ads! I felt my time spent on this game 80% was on watching Ads instead of playing the actual game itself. If it werent bcz of those endless ads this would actually be a pretty good game! I actually enjoyed it (but the extreme ads ruined it!) Also, the game start to crash now and I cant open it anymore that I have no choice but to uninstall it. What a pity! Please fix this bug!",1,191,1.3.1
Eric Goins,"Normally I get tired of idle games because of their ""wash, rinse, repeat"" cycles. I never got what was so appealing about those. This one, however, is a bit different. The pace is still the same: buy and upgrade to make money. That's where they continued where most don't. Energy, customer attraction, service speed, , staff expenses...these are all minor details that, when added to a simple idle game, really change how you play. I 'm happy to say I finally found a mobile ""Tycoon"" game",5,191,1.7.3
Trish Thompson,"Editing my review AGAIN because it's been MONTHS, beginning on a year since the last release of a hotel beyond the event hotel. I went from playing all the time to only checking to see if there's finally a new hotel... I'd give it higher if there were more levels. I've 5 starred every level and now have nothing to do... I paid for everything that was basically offered and only regret there isn't more...",3,189,1.8.4
A Google user,"Graphics are nice. Management is okay. But after finishing one hotel, there is literally nothing to do. You keep on collecting cash in that hotel for nothing. There should be some element in game which makes this go away. Either transferring the cash to other hotel managements or adding some features for continuous cash flow. Also adding google play achievements is a good thing. And in-game purchases are very costly, furthermore after any purchase, the game will end in a week or two.",4,185,1.2.0
Maddy,"This game is really great for many reasons, but not perfect. There are plenty of hotels that you can transform all with different themes, meaning it keeps you busy for a while. I've had this game for a few months and its still entertaining. You can earn gems fairly easily by completing goals given to you, however once you get to the 6th hotel, there are no goals to complete. This is very frustrating as that's the only way to get gems without paying for them, please fix this!!",4,184,1.9.93
A Google user,"This game is good but not much progress. I've been playing this for hours and it's starting to get boring. Watching ads is the best way to progress but it kinda felt like I'm just watching ads and not playing anymore. Although it is a very nice game. The graphics and gameplay is good. Nice choice of characters as well. More updates and maybe this could possibly be one of the best tycoon games or whatever it is called. Lol. Overall, I still like it :)",4,183,1.4.2
Possibly Dell Honne,"Great fun, I dislike idle games but this one caught me off guard by how invested I got in so little time. Yes, the best way to build is through Ads. I don't mind that and it's not too aggressive. Loses a star because every so often you will watch an ad and won't get the cash. When this happens, whenever he comes up, no video will play. It fixes if you close out of the game, but every time i close out of the game two rooms are emptied for some reason. This is very, very irritating.",4,180,1.7.2
A Google user,are played a lot of games which are basically a strategy games but this game is totally amazing and it has provided amazing experience while I was playing this game smoother. amazing story line just the one thing which it requires is few updates which can give us more access to the services which can be provided to the customers. currently in the hotel industry what kind of services which are provided to the customer we should also keep it. Thanks to the developer.,5,178,1.2.0
A Google user,"I love this game! Hope you planning to add more stuff to customize the hotels, cameras etc. It would be nice to see more animations. Very good at the moment, very stable. The income is a little low, you have to watch a lot of ads, but I think it's okay, because you really work hard for this game, and there should be an income somehow.",5,178,1.2.0
A Google user,"I absolutely love this game! I have had ot for quite awhile now and think it is so fun. A bit of a challenge to save your money when upgrading, but a good way to know what a struggle it must be to keep a business perfect for customers! There aren't many ads. The only times you have them is if you accept to am investment deal or more customers. I will keep this game a long time!",5,173,1.4.2
A Google user,"Super fun until you get to the third hotel and then its super glitchy. Videos ads not working, always have two rooms available and hotel closes after 30mins rather than 2 hrs. And earning money is impossible with all the glitches. Also don't see the point in keep hotels after you finish all the goals. May help the game to be less glitchy by removing them after you finish a level. Hope there's an update to fix the bugs out soon.",3,173,1.2.1
A Google user,"Fun game! It's a good balance between an idle game and something that requires you to be active with. You need to pick your upgrades while also ensuring there are enough funds to pay your workers. Two complaints: 1) after you get all of the upgrades in one hotel, it is essentially self sustaining and there's no reason to come back -- it needs an end game. 2) the event hotel is BS. Unlocking even 1 star in the given time frame is difficult unless you pay to win.",3,172,1.6.0
Hyung kook3,I really like this game and i played it before but i wanted an idle game to come back to since I'm busy all the time and i remember something that frustrated me was how I can't take money from a previous hotel that i finished and use it in another hotel. Its like starting from rock bottom again when I'm not entirely there because I have money from other hotels. I don't know if anyone else feels this way but if it could be changed i would enjoy the game better.,4,172,1.9.93
A Google user,"Carrying on from my review, this game revolves around watching adverts every minute , 30 seconds each advert so most of the game is adverts. Although I thought I might pay for advert free, I thought a couple of quid would be worth it. But no, ¡ê10.49 for advert free version, that is disgusting and extortionate. I will probably be uninstalling the game.",2,172,1.3.0
A Google user,"Although the advertisements are optional, it is very difficult to advance without watching videos. Sometimes when I watch adverts for the monetary rewards, I do not even get any money. I just get a blank screen for about thirty seconds and then the guy leaves. Making money is a very slow process because when you upgrade items you do not even get the full amount the upgrade states. This game would probably appeal to the most hardcore of grinders but not for casual players.",1,170,1.1.1
A Google user,"Was enjoying playing this game until installing the latest update. Can no longer get extra cash or perks from watching the videos as it fails to give you the reward! You watch the video, it now takes you straight to app store as if you clicked on it, even if you didn't, and when you return to the game: the opportunity is over but no reward! Please fix!!!",3,169,1.0
A Google user,"I find it challenging and exciting until I finished all of the tasks and upgrades for the 1st hotel. Wish there was a way to transfer money from one hotel to another. It's a lot difficult to progress on the 2nd hotel due to lack of money. Upgrades, rooms, and equipment are way too expensive than the 1st one. It's non sense that the 1st hotel keeps earning for no purpose at all anymore.",2,168,1.2.1
A Google user,"I love this game, but I'm giving it 2 stars because after upgrading everything in one hotel, it is pointless to revisit that hotel. You can't use the profits from a previous hotel to help build up a new hotel. Why even have the option of revisiting old hotels if the profits aren't shared? It's a perplexing and disappointing mechanic.",2,165,1.2.0
Shannon Milliner,"Good little game, I quite enjoy it only thing is once you have upgrade all of the hotels to 100% there is nothing left to do. The Event hotel bundles are a bit of a rip off and not worth the money it. I'm curious to know if the developers of the game will be releasing anymore hotels to manage any time soon? Or is that it? Time to remove the game and move on . No new updates for months on end .",1,164,1.8.4
F_nrir_B_t_,"Awesome graphics. Super fun, and addictive. My only problem, is that if the cash guy comes and you try to watch a video, it won't let you. And sometimes when you leave the game after you watched a video it will reset some to all the money you got from watching the ad. Other then these small problems it's a great game and would recommend to anyone who is feeling the need to do something.",5,162,1.8.3
Jessica Wooten,"I loved it at first. Then I paid $10 to remove all the ads and enjoyed it more. I made it to the 7th level. All the hotel guests go to the same place regardless if it's open or not on every level. When you switch to a different hotel or log out entirely, you instantly lose guests. In my experience up to 10 guests at a time would instantly be removed from the hotel depending on your level. Therefore, you make waaaayyyyy LESS money to none after you log out. Waste of time and effort.",1,161,1.8.1
A Google user,"Great game. Love the management aspect. And that this game is not a clicker. It's really hard to find games like this one on mobile. I personally like that it's vertical so I don't have to turn my phone. Though, a lot of bugs when it comes with advertisements. I'm experiencing a lot of freezes whenever I watch a video for some cash or 2x profit which results to not getting the bonus at all. Hope you guys fix it!",4,160,1.2.1
Eleanor Griffiths,"NEED NEW CONTENT!! Updating now to just 1 star as still waiting on a new hotel to be introduced. That's over 2 years we have been waiting! I paid good money to not see ads and to update the managers in yet Codigames seems to want to just bring out more and more new games, (which are too fussy and iver complicated) instead of respecting the players of the ones they already have! Theme Park and Prison NEED NEW CONTENT!",1,160,1.9.97
A Google user,Pretty cool... Starts off a little slow and you've got to be pretty strategic. The option to watch ads for more money is great and the ads I've seen are 15sec or shorter. It's a great game to wake up to because you earn money while you sleep too. I just purchased my second hotel so we'll see. The only suggestion I have is to be able to choose different styles and look in your hotel... Color options would be cool.,5,159,1.2.0
Vania Buntaran,"Edit: I've reached Little Camelot now and thank you for reading my review before (I asked for different upgrade in rooms). It's really refreshing and now I couldn't stop playing it even more. The ads doesn't bothered me because in fact I used the double time ads everytime. If I could give suggestion, it would be great to have a Chinese Imperial style Hotel (like those in colossal drama). I think that'd be really cool! ^^",5,158,1.9.91
Florence Firth,"This game is amazing! It's so fun and addictive. I play this for hours and hours every day! It's quite hard and slow at first, but once lots of money starts coming in it becomes easier and more laid back. I also love how there are a variety of different hotels that you can unlock later on in the game. I definitely recommend this game. If you are considering installing it... then what on earth are you waiting for?!",5,158,1.9.93
A Google user,"Awesome game! Rarely do I play a mobile game for more than a day or 2. But this one was so well done I 5 stared all of the hotels. My only ""complaint"" is that once you get 5 stars on a hotel, there is never a reason to revisit it, which also means once you 5 star the last one, you're done. I would love to see something to bring you back to the first ones. Or maybe once you finish the last one, you can restart in a mastery mode. Again, awesome game, I'll be checking out some of their other ones",5,158,1.3.1
A Google user,"I really love the game itself from the cute effects to the details of the game. Overall its really good and i really love it. But, as for this game is for killing time, i would love to have this game offlined and can be accessed by anyone anytime anywhere without any internet connections. Maybe someday in the future you'll have an offline game tycoon for everybody.__",4,158,1.3.1
A Google user,"This game is fun for the first hour and then it's just the same boring stuff. If you want to progress at all, you have to watch ads upon ads. If you pay to remove the ads, the game gets too easy and you just wait for the dancing money guy to give you all the money you need. By the 3rd hotel, I only come back for a minute to collect the offline money and spam the upgrade button a few times. There doesnt seem to be much strategy, just watch ads, upgrade stuff and come back later.",2,157,1.3.0
Hyacinth Fernando,"Loved the game! I have a request, please make the guest utilize the other facilities, and make them use their room balconies, example from the blue crystal resort's suit rooms make the guests use their private swimming pool, slides, and let them relax, sun bathe on their decks, also make them do activities like swim on the ocean, sun bathe while the beach bar is close, night party at the beach bar, you know dancing, and making some trouble. I would love to see guests interacting with each other.",4,154,1.9.93
KP,"Was fun in the beginning, but now it's gotten old. My event hotel keeps getting deleted for no reason causing me to start over every time. Also, the old hotels are pointless and there's no reason to go back to them after you've finished them. 2 stars because its a good idea, and fun at first.. but they need to fix some bugs and think of some new ways to keep people interested longer. I'll edit this if that ever happens.",2,152,1.8.1
Midhun,"Ads are cheating most of the time. Other than that, nice game. Placement of ad feature is perfect though as if you have to watch some ad now and then to earn some extra money, like getting a loan. Its just it doesnt work most of the time when needed. Sometimes, the ad button takes years to load, sometimes if we click it, the ad wont play, sometimes even if we watch the whole ad only to get some money for the game, we dont get the promised money. It happens mostly when the money is big",3,149,1.7.2
A Google user,"It's an okay game while you're bored but there are way too many ads and most of the time the ads DONT work. You click the button to watch it and it just goes back to the game without loading any video. You have to exit out of the game a few times to even get one to work again. Not worth it, find a different hotel game that doesnt require ads every 2 seconds to get any kind of revenue to expand your hotels.",2,148,1.2.0
chulin pan,"The game is fun and i quite enjoy playing it but there are several bugs that drive me crazy!! One of the bug is alright which is I can't get the money sometimes after i watch the ads. but the other one, the most terrible one, is that last night i go to bed for like 8 hours but when i wake up and open the game, it didn't increase my money at all!!! i don't want to play this game anymore until these bugs are fixed.",2,147,1.7.2
Coriann Howard,"Only game I have ever actually finished fully. I love the different locations. It is a bit repetitive, but it seems to keep you entertained and watching your guests roam and explore and utilize the services is great! Also, paying to get rid of ads is worth it. $10 is a steep, but it transfers to every hotel and you get $ from the VIP guest instantly, which is one of the main ways to get cash in game. It would also be grand if they added a hotel/game reset button. I'd love to play again.",5,146,1.9.95
A Google user,"So after playing for almost a week and I confidently say you are not going to get anywhere unless you watch ads literally every 2 minutes. I understand that it's a free game but the amount of money it takes to upgrade and get more hotels is pretty high and it will take you A WHILE to unlock. I would watch an ad for 30 seconds, get around 2,000 upgrade something and then wait for the money man to come and give me another ad so I could upgrade. Graphics are cute but money is too slow without ads.",2,145,1.2.0
Roberto Silva,"Fun game, have to watch adds but not a problem you don't have to pay to get ahead, I finish all the hotels at 100% but that's it there's no more hotels. They should add more hotels, they should also have the people do different things at different times. They should not all go to the restaurant some should go to the pool, arcade, bar, etc maybe also add in room service. We should be able to make the schedule we want out shops to be open they close to soon or open to late.",4,142,1.7.2
A Google user,"I love this game, it's very addicting. I just got to my second hotel and its so much fun. I love that you can watch ads to double your money or just earn more altogether! Watch a 30 second add for 8,000 more dollars? Sold. I love that even after you've finished your hotel and moved on to thee next one you can go back to the original one and continue to upgrade it until it is five star, and continue to earn money from it as well. 10/10 will reccomend!",5,142,1.2.0
Toni Warning,"Great game but needs updates - similar to everyone else, I have to say: ALLOW MONEY TO BE TRANSFERRED FROM HOTEL TO HOTEL. If I'm the one building it, the money should go with me! Especially if I'm still earning on hotels that are no longer able to be upgraded. The money is still sitting there, accruing, and I can't use it! Ends up being disappointing in the end.",3,140,1.7.1
A Google user,"I really enjoyed playing this game, but am sad that there are no more hotels after 30 stars. I recently just paid extra money to have 10 hours of open hotel idle time, and unlimited double profits, but I only got to use it for the last hotel. If I'd have known it was the last hotel, I wouldn't have spent an extra $15 on this game. I'm really bummed because I would've loved to keep playing, but there are no more levels after 6 hotels? __",3,140,1.7.1
Ashley Clark,"Honestly this game is pretty neat. The art is very cute, simple and yet really nice to look at! I love that the hotels really change from one to the next. The ads are well placed and entirely optional. Events feel impossible unless you're willing to spend money, and honestly I might consider it if there was more to do. Once you finish a hotel, it's pretty useless, which kinda sucks. And I'm pretty sure there's a set number of hotels so eventually, you'll beat the game I assume. Great game tho!",4,138,1.7.2
Rose TS,It's really good! The ads are optional. And it's fun when you understand the trick or what to do first. I've been playing since feb/mar2020. Haven't bored once. I'm glad they keep it updated and adding more hotels to maintain (I was half afraid the game would be 'that's all' after I'm done with 3 hotels that's available when I first played it). Good job!,5,138,1.8.4
